"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
25,25,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SPI_CSN_WAVE",262144.000000,460167944865382,460167944899502
25,25,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_BUSY_CYCLES",2204305.000000,460167944865382,460167944899502
25,25,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_CYCLES",3119452.000000,460167944865382,460167944899502
25,25,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_WAVES",262144.000000,460167944865382,460167944899502
26,26,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SPI_CSN_WAVE",262144.000000,460167944971343,460167945005423
26,26,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_BUSY_CYCLES",2196229.000000,460167944971343,460167945005423
26,26,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_CYCLES",3229148.000000,460167944971343,460167945005423
26,26,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_WAVES",262144.000000,460167944971343,460167945005423
27,27,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SPI_CSN_WAVE",8192.000000,460167945078984,460167953098146
27,27,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_BUSY_CYCLES",381888257.000000,460167945078984,460167953098146
27,27,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_CYCLES",392453824.000000,460167945078984,460167953098146
27,27,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_WAVES",8192.000000,460167945078984,460167953098146
28,28,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SPI_CSN_WAVE",262144.000000,460167953174147,460167953208987
28,28,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_BUSY_CYCLES",1658254.000000,460167953174147,460167953208987
28,28,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_CYCLES",2410544.000000,460167953174147,460167953208987
28,28,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_WAVES",262144.000000,460167953174147,460167953208987
29,29,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SPI_CSN_WAVE",8192.000000,460167953280188,460167960708384
29,29,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_BUSY_CYCLES",390922550.000000,460167953280188,460167960708384
29,29,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_CYCLES",393437548.000000,460167953280188,460167960708384
29,29,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_WAVES",8192.000000,460167953280188,460167960708384
30,30,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SPI_CSN_WAVE",262144.000000,460167960777425,460167960812145
30,30,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_BUSY_CYCLES",1806311.000000,460167960777425,460167960812145
30,30,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_CYCLES",2670208.000000,460167960777425,460167960812145
30,30,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_WAVES",262144.000000,460167960777425,460167960812145
31,31,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SPI_CSN_WAVE",8192.000000,460167960890586,460167968014219
31,31,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_BUSY_CYCLES",400646733.000000,460167960890586,460167968014219
31,31,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_CYCLES",403917812.000000,460167960890586,460167968014219
31,31,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_WAVES",8192.000000,460167960890586,460167968014219
32,32,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SPI_CSN_WAVE",262144.000000,460167968093380,460167968127620
32,32,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_BUSY_CYCLES",1925435.000000,460167968093380,460167968127620
32,32,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_CYCLES",2812740.000000,460167968093380,460167968127620
32,32,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_WAVES",262144.000000,460167968093380,460167968127620
33,33,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SPI_CSN_WAVE",8192.000000,460167968206581,460167975262733
33,33,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_BUSY_CYCLES",403018634.000000,460167968206581,460167975262733
33,33,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_CYCLES",405735580.000000,460167968206581,460167975262733
33,33,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_WAVES",8192.000000,460167968206581,460167975262733
34,34,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SPI_CSN_WAVE",262144.000000,460167975341614,460167975375254
34,34,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_BUSY_CYCLES",2083144.000000,460167975341614,460167975375254
34,34,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_CYCLES",2986288.000000,460167975341614,460167975375254
34,34,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_WAVES",262144.000000,460167975341614,460167975375254
35,35,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SPI_CSN_WAVE",8192.000000,460167975450775,460167982460847
35,35,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_BUSY_CYCLES",405576506.000000,460167975450775,460167982460847
35,35,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_CYCLES",410956912.000000,460167975450775,460167982460847
35,35,"Agent 2",1,1015970,1015970,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_WAVES",8192.000000,460167975450775,460167982460847
36,36,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SPI_CSN_WAVE",262144.000000,460167982635009,460167982669249
36,36,"Agent 2",1,1015970,1015970,16777216,790,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_BUSY_CYCLES",2091192.000000,460167982635009,460167982669249
