"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
32,32,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_SMEM",262144.000000,460692101421615,460692101454936
32,32,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_VALU",1310720.000000,460692101421615,460692101454936
32,32,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_VMEM",262144.000000,460692101421615,460692101454936
33,33,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS",969170944.000000,460692101538297,460692108590244
33,33,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_SALU",160276480.000000,460692101538297,460692108590244
33,33,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_SMEM",98304.000000,460692101538297,460692108590244
33,33,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_VALU",554467328.000000,460692101538297,460692108590244
33,33,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_VMEM",84475904.000000,460692101538297,460692108590244
34,34,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS",5767168.000000,460692108671925,460692108705365
34,34,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_SALU",2883584.000000,460692108671925,460692108705365
34,34,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_SMEM",262144.000000,460692108671925,460692108705365
34,34,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_VALU",1310720.000000,460692108671925,460692108705365
34,34,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_VMEM",262144.000000,460692108671925,460692108705365
35,35,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS",969170944.000000,460692108786046,460692115786154
35,35,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_SALU",160276480.000000,460692108786046,460692115786154
35,35,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_SMEM",98304.000000,460692108786046,460692115786154
35,35,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_VALU",554467328.000000,460692108786046,460692115786154
35,35,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_VMEM",84475904.000000,460692108786046,460692115786154
36,36,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS",5767168.000000,460692115957195,460692115991236
36,36,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_SALU",2883584.000000,460692115957195,460692115991236
36,36,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_SMEM",262144.000000,460692115957195,460692115991236
36,36,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_VALU",1310720.000000,460692115957195,460692115991236
36,36,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_VMEM",262144.000000,460692115957195,460692115991236
37,37,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS",969170944.000000,460692116078116,460692123073024
37,37,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_SALU",160276480.000000,460692116078116,460692123073024
37,37,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_SMEM",98304.000000,460692116078116,460692123073024
37,37,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_VALU",554467328.000000,460692116078116,460692123073024
37,37,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_VMEM",84475904.000000,460692116078116,460692123073024
38,38,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS",5767168.000000,460692123161465,460692123195225
38,38,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_SALU",2883584.000000,460692123161465,460692123195225
38,38,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_SMEM",262144.000000,460692123161465,460692123195225
38,38,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_VALU",1310720.000000,460692123161465,460692123195225
38,38,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_VMEM",262144.000000,460692123161465,460692123195225
39,39,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS",969170944.000000,460692123286906,460692130260093
39,39,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_SALU",160276480.000000,460692123286906,460692130260093
39,39,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_SMEM",98304.000000,460692123286906,460692130260093
39,39,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_VALU",554467328.000000,460692123286906,460692130260093
39,39,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_VMEM",84475904.000000,460692123286906,460692130260093
40,40,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS",5767168.000000,460692130339894,460692130373334
40,40,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_SALU",2883584.000000,460692130339894,460692130373334
40,40,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_SMEM",262144.000000,460692130339894,460692130373334
40,40,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_VALU",1310720.000000,460692130339894,460692130373334
40,40,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_VMEM",262144.000000,460692130339894,460692130373334
41,41,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS",969170944.000000,460692130461295,460692137440562
41,41,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_SALU",160276480.000000,460692130461295,460692137440562
41,41,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_SMEM",98304.000000,460692130461295,460692137440562
41,41,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_VALU",554467328.000000,460692130461295,460692137440562
41,41,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_VMEM",84475904.000000,460692130461295,460692137440562
42,42,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS",5767168.000000,460692137525083,460692137558603
42,42,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_SALU",2883584.000000,460692137525083,460692137558603
