t=1 sclk=158MHz Tj=45.0C P=238.0W
t=2 sclk=1790MHz Tj=48.0C P=1396.0W
t=3 sclk=1781MHz Tj=54.0C P=1397.0W
t=4 sclk=1781MHz Tj=55.0C P=1397.0W
t=5 sclk=1775MHz Tj=56.0C P=1372.0W
t=6 sclk=1776MHz Tj=56.0C P=1398.0W
t=7 sclk=1774MHz Tj=56.0C P=1398.0W
t=8 sclk=1774MHz Tj=56.0C P=1399.0W
t=9 sclk=1765MHz Tj=56.0C P=1399.0W
t=10 sclk=1768MHz Tj=56.0C P=1397.0W
t=11 sclk=1763MHz Tj=56.0C P=1382.0W
t=12 sclk=1761MHz Tj=56.0C P=1400.0W
