4x4kx4k,7,0.3505,0.3484,100.60,OK
4x4kx4k,2,0.3517,0.2976,118.18,OK
4x4kx4k,6,0.3509,0.3464,101.30,OK
4x4kx4k,3,0.3533,0.1414,249.86,OK
4x8kx8k,7,0.6705,0.7005,95.72,OK
4x8kx8k,2,0.6683,0.6981,95.73,OK
4x8kx8k,6,0.6667,0.6984,95.46,OK
4x8kx8k,3,0.6716,0.7004,95.89,OK
8x8kx8k,2,0.8815,1.1103,79.39,OK
8x8kx8k,7,0.7056,1.106,63.80,OK
8x8kx8k,6,0.8827,1.1188,78.90,OK
8x8kx8k,3,0.8864,1.1189,79.22,OK
16x8kx8k,7,1.0893,1.1276,96.60,OK
16x8kx8k,6,1.0864,1.1367,95.57,OK
16x8kx8k,2,0.8989,0.5744,156.49,OK
16x8kx8k,3,1.0907,1.137,95.93,OK
