R38D builder: 190 shape×variant entries, 176 unique builds
  [ 78/176] BUILT N=128256,K=32768,lgk2_v16_R38D (4.8s)
  [ 79/176] BUILT N=14336,K=2048,ts_lgk2_v12_R38D (4.8s)
  [ 80/176] BUILT N=32768,K=128256,ts_gm8_v12_btw_all_R38D (5.9s)
  [ 81/176] BUILT N=28672,K=4096,ts_gm2_v20_R38D (4.6s)
  [ 82/176] BUILT N=4096,K=3072,ts_pf4_tv16_R38D (4.8s)
  [ 83/176] BUILT N=4096,K=2048,ts_lgk2_tv16_R38D (4.8s)
  [ 84/176] BUILT N=128256,K=32768,lgk2_v12_R38D (4.8s)
  [ 85/176] BUILT N=32768,K=128256,swap_gm8_R38D (5.3s)
  [ 86/176] BUILT N=4096,K=3072,no_embed_v4_R38D (4.7s)
  [ 87/176] BUILT N=14336,K=4096,ts_v4_R38D (4.9s)
  [ 88/176] BUILT N=4096,K=14336,ts_lgk2_btw_step3_R38D (5.8s)
  [ 89/176] BUILT N=4096,K=32768,ts_lgk2_btw_step3_R38D (4.7s)
  [ 90/176] BUILT N=4096,K=2048,ts_lgk2_v20_R38D (4.8s)
  [ 91/176] BUILT N=32768,K=4096,ts_no_embed_v12_R38D (4.9s)
  [ 92/176] BUILT N=28672,K=32768,v16_R38D (4.8s)
  [ 93/176] BUILT N=4096,K=14336,p1_btw_all_R38D (5.8s)
  [ 94/176] BUILT N=32768,K=4096,ts_v12_tv16_R38D (4.8s)
  [ 95/176] BUILT N=32768,K=14336,ts_v12_tv16_R38D (5.7s)
  [ 96/176] BUILT N=32768,K=14336,ts_lgk2_v24_R38D (5.8s)
  [ 97/176] BUILT N=4096,K=2048,ts_v12_tv16_R38D (4.6s)
  [ 98/176] BUILT N=6144,K=32768,ts_gm8_v12_btw_step3_R38D (4.8s)
  [ 99/176] BUILT N=4096,K=2048,ts_R38D (4.8s)
  [100/176] BUILT N=4096,K=28672,u8_R38D (4.8s)
  [101/176] BUILT N=6144,K=32768,no_embed_R38D (4.8s)
  [102/176] BUILT N=4096,K=3072,ts_lgk2_btw_step3_R38D (4.8s)
  [103/176] BUILT N=6144,K=32768,ts_lgk2_btw_step3_R38D (4.7s)
  [104/176] BUILT N=4096,K=32768,ts_gm8_R38D (4.7s)
  [105/176] BUILT N=4096,K=32768,u32_btw_all_R38D (5.3s)
  [106/176] BUILT N=32768,K=128256,p1_btw_all_R38D (5.8s)
  [107/176] BUILT N=14336,K=2048,ts_lgk4_v4_R38D (4.8s)
  [108/176] BUILT N=4096,K=3072,u32_btw_all_R38D (4.8s)
  [109/176] BUILT N=4096,K=28672,no_embed_v16_R38D (4.8s)
  [110/176] BUILT N=32768,K=4096,ts_pf6_6_lgk2_v12_R38D (4.8s)
  [111/176] BUILT N=14336,K=2048,ts_u16_R38D (4.7s)
  [112/176] BUILT N=4096,K=32768,no_embed_v20_R38D (4.7s)
  [113/176] BUILT N=14336,K=4096,ts_pf6_6_lgk2_v12_R38D (4.7s)
  [114/176] BUILT N=6144,K=32768,lgk4_v16_R38D (4.7s)
  [115/176] BUILT N=28672,K=32768,ts_gm8_v12_btw_step3_R38D (4.7s)
  [116/176] BUILT N=32768,K=28672,default_R38D (4.8s)
  [117/176] BUILT N=32768,K=4096,ts_lgk2_v16_R38D (4.8s)
  [118/176] BUILT N=32768,K=4096,p1_btw_all_R38D (4.9s)
  [119/176] BUILT N=32768,K=14336,ts_no_embed_tv16_R38D (5.9s)
  [120/176] BUILT N=4096,K=32768,lgk4_v4_R38D (4.8s)
  [121/176] BUILT N=14336,K=2048,u32_btw_all_R38D (4.8s)
  [122/176] BUILT N=32768,K=4096,ts_lgk2_tv16_R38D (4.8s)
  [123/176] BUILT N=4096,K=14336,ts_gm8_v12_btw_all_R38D (5.9s)
  [124/176] BUILT N=32768,K=14336,ts_lgk2_tv16_R38D (5.8s)
  [125/176] BUILT N=4096,K=14336,ts_no_embed_v12_R38D (5.8s)
  [126/176] BUILT N=4096,K=32768,ts_gm8_v12_btw_step3_R38D (4.7s)
  [127/176] BUILT N=32768,K=28672,ts_gm8_v12_btw_all_R38D (5.4s)
  [128/176] BUILT N=128256,K=32768,v20_R38D (4.6s)
  [129/176] BUILT N=32768,K=128256,ts_gm8_ext_br_R38D (5.8s)
  [130/176] BUILT N=32768,K=4096,ts_v4_tv16_R38D (4.9s)
  [131/176] BUILT N=14336,K=2048,ts_gm2_v20_R38D (4.7s)
  [132/176] BUILT N=14336,K=2048,ts_ext_br_v12_R38D (4.8s)
  [133/176] BUILT N=4096,K=2048,ts_v4_tv16_R38D (4.7s)
  [134/176] BUILT N=14336,K=2048,ts_gm2_lgk2_v12_R38D (4.8s)
  [135/176] BUILT N=28672,K=32768,no_embed_v16_R38D (4.8s)
  [136/176] BUILT N=32768,K=14336,ts_v24_R38D (5.8s)
  [137/176] BUILT N=14336,K=4096,ts_lgk2_v20_R38D (4.8s)
  [138/176] BUILT N=4096,K=14336,ts_lgk2_v24_R38D (5.8s)
  [139/176] BUILT N=4096,K=28672,ts_gm8_v12_btw_all_R38D (5.3s)
  [140/176] BUILT N=4096,K=32768,ts_pf6_6_lgk2_R38D (4.6s)
  [141/176] BUILT N=4096,K=14336,ts_pf6_6_lgk2_v12_R38D (5.8s)
  [142/176] BUILT N=28672,K=4096,ts_gm8_v12_btw_all_R38D (4.8s)
  [143/176] BUILT N=32768,K=14336,ts_v20_R38D (5.9s)
  [144/176] BUILT N=128256,K=32768,no_embed_v20_R38D (4.6s)
  [145/176] BUILT N=32768,K=28672,lgk2_v12_R38D (4.7s)
  [146/176] BUILT N=4096,K=32768,lgk2_v12_R38D (4.8s)
  [147/176] BUILT N=32768,K=4096,ts_lgk2_v24_R38D (4.8s)
  [148/176] BUILT N=4096,K=2048,ts_lgk2_v24_R38D (4.9s)
  [149/176] BUILT N=4096,K=14336,ts_no_embed_tv16_R38D (5.9s)
  [150/176] BUILT N=4096,K=14336,ts_lgk2_tv16_R38D (5.8s)
  [151/176] BUILT N=4096,K=2048,ts_u16_R38D (4.8s)
  [152/176] BUILT N=32768,K=128256,ts_no_embed_tv16_R38D (5.9s)
  [153/176] BUILT N=4096,K=2048,ts_lgk2_no_embed_R38D (4.7s)
  [154/176] BUILT N=4096,K=32768,v24_R38D (4.8s)
  [155/176] BUILT N=28672,K=4096,ts_gm2_ext_br_R38D (4.9s)
  [156/176] BUILT N=32768,K=4096,u32_btw_all_R38D (4.7s)
  [157/176] BUILT N=4096,K=28672,p1_btw_all_R38D (5.5s)
  [158/176] BUILT N=4096,K=14336,ts_lgk4_v16_R38D (5.9s)
  [159/176] BUILT N=4096,K=14336,ts_v24_R38D (5.8s)
  [160/176] BUILT N=4096,K=14336,ts_lgk2_v20_R38D (5.8s)
  [161/176] BUILT N=14336,K=4096,ts_lgk2_v16_R38D (4.9s)
  [162/176] BUILT N=28672,K=32768,v12_R38D (4.8s)
  [163/176] BUILT N=32768,K=128256,ts_gm8_v12_btw_step3_R38D (5.9s)
  [164/176] BUILT N=4096,K=32768,ts_gm8_v12_btw_all_R38D (4.7s)
  [165/176] BUILT N=28672,K=4096,p1_btw_all_R38D (4.8s)
  [166/176] BUILT N=14336,K=4096,u32_btw_all_R38D (4.8s)
  [167/176] BUILT N=128256,K=32768,no_embed_v16_R38D (4.7s)
  [168/176] BUILT N=128256,K=32768,ts_lgk2_btw_step3_R38D (4.7s)
  [169/176] BUILT N=28672,K=32768,ts_lgk2_btw_step3_R38D (4.5s)
  [170/176] BUILT N=4096,K=3072,v32_R38D (4.7s)
  [171/176] BUILT N=4096,K=32768,ts_R38D (4.6s)
  [172/176] BUILT N=14336,K=2048,ts_v16_R38D (4.7s)
  [173/176] BUILT N=28672,K=32768,pf6_6_R38D (4.7s)
  [174/176] BUILT N=32768,K=128256,ts_lgk2_v20_R38D (5.7s)
  [175/176] BUILT N=14336,K=4096,ts_lgk4_v16_R38D (4.8s)
  [176/176] BUILT N=32768,K=128256,ts_lgk2_btw_step3_R38D (5.8s)

Done in 58.3s: built=176, cached=0, failed=0
Manifest: R38D_BUILD_MANIFEST.json
