shape	M	N	K	policy	rep	layout	tflops	avg_ms	build_md5
4096cube	4096	4096	4096	2	2	RRR	2402.26	0.0572	cfd15f2e0940d4c010f4dd0b87a53f03
4096cube	4096	4096	4096	2	2	CRR	2230.74	0.0616	cfd15f2e0940d4c010f4dd0b87a53f03
4096cube	4096	4096	4096	2	3	RCR	2401.92	0.0572	cfd15f2e0940d4c010f4dd0b87a53f03
4096cube	4096	4096	4096	2	3	RRR	2384.01	0.0577	cfd15f2e0940d4c010f4dd0b87a53f03
4096cube	4096	4096	4096	2	3	CRR	2229.30	0.0617	cfd15f2e0940d4c010f4dd0b87a53f03
4096cube	4096	4096	4096	3	1	RCR	2406.87	0.0571	17713277b3a0e31c8f49de34cc040fd7
4096cube	4096	4096	4096	3	1	RRR	2395.88	0.0574	17713277b3a0e31c8f49de34cc040fd7
4096cube	4096	4096	4096	3	1	CRR	2226.64	0.0617	17713277b3a0e31c8f49de34cc040fd7
4096cube	4096	4096	4096	3	2	RCR	2423.77	0.0567	17713277b3a0e31c8f49de34cc040fd7
4096cube	4096	4096	4096	3	2	RRR	2405.11	0.0571	17713277b3a0e31c8f49de34cc040fd7
4096cube	4096	4096	4096	3	2	CRR	2233.35	0.0615	17713277b3a0e31c8f49de34cc040fd7
4096cube	4096	4096	4096	3	3	RCR	2398.00	0.0573	17713277b3a0e31c8f49de34cc040fd7
4096cube	4096	4096	4096	3	3	RRR	2419.08	0.0568	17713277b3a0e31c8f49de34cc040fd7
4096cube	4096	4096	4096	3	3	CRR	2235.91	0.0615	17713277b3a0e31c8f49de34cc040fd7
8B_GateUp_4kx14kx4k	4096	14336	4096	0	1	RCR	2568.59	0.1873	e60de15fb578016acccd107842f6446a
8B_GateUp_4kx14kx4k	4096	14336	4096	0	1	RRR	2536.23	0.1897	e60de15fb578016acccd107842f6446a
8B_GateUp_4kx14kx4k	4096	14336	4096	0	1	CRR	2363.27	0.2035	e60de15fb578016acccd107842f6446a
8B_GateUp_4kx14kx4k	4096	14336	4096	0	2	RCR	2587.95	0.1859	e60de15fb578016acccd107842f6446a
