shape	M	N	K	policy	rep	layout	tflops	avg_ms	build_md5
70B_Down_4kx8kx28k	4096	8192	28672	1	1	RRR	2959.87	0.6501	fee58d69dd131e360f6a25a35c1eccff
70B_Down_4kx8kx28k	4096	8192	28672	1	1	CRR	2654.76	0.7248	fee58d69dd131e360f6a25a35c1eccff
70B_Down_4kx8kx28k	4096	8192	28672	1	2	RCR	2942.41	0.6539	fee58d69dd131e360f6a25a35c1eccff
70B_Down_4kx8kx28k	4096	8192	28672	1	2	RRR	2976.03	0.6465	fee58d69dd131e360f6a25a35c1eccff
70B_Down_4kx8kx28k	4096	8192	28672	1	2	CRR	2663.57	0.7224	fee58d69dd131e360f6a25a35c1eccff
70B_Down_4kx8kx28k	4096	8192	28672	1	3	RCR	2944.56	0.6535	fee58d69dd131e360f6a25a35c1eccff
70B_Down_4kx8kx28k	4096	8192	28672	1	3	RRR	2974.36	0.6469	fee58d69dd131e360f6a25a35c1eccff
70B_Down_4kx8kx28k	4096	8192	28672	1	3	CRR	2664.82	0.7221	fee58d69dd131e360f6a25a35c1eccff
70B_Down_4kx8kx28k	4096	8192	28672	2	1	RCR	2940.09	0.6545	5b48428c4f4fab42630b4854c9260061
70B_Down_4kx8kx28k	4096	8192	28672	2	1	RRR	2883.97	0.6672	5b48428c4f4fab42630b4854c9260061
70B_Down_4kx8kx28k	4096	8192	28672	2	1	CRR	2617.23	0.7352	5b48428c4f4fab42630b4854c9260061
70B_Down_4kx8kx28k	4096	8192	28672	2	2	RCR	2935.50	0.6555	5b48428c4f4fab42630b4854c9260061
70B_Down_4kx8kx28k	4096	8192	28672	2	2	RRR	2885.77	0.6668	5b48428c4f4fab42630b4854c9260061
70B_Down_4kx8kx28k	4096	8192	28672	2	2	CRR	2615.12	0.7358	5b48428c4f4fab42630b4854c9260061
70B_Down_4kx8kx28k	4096	8192	28672	2	3	RCR	2934.06	0.6558	5b48428c4f4fab42630b4854c9260061
70B_Down_4kx8kx28k	4096	8192	28672	2	3	RRR	2885.58	0.6668	5b48428c4f4fab42630b4854c9260061
70B_Down_4kx8kx28k	4096	8192	28672	2	3	CRR	2618.54	0.7348	5b48428c4f4fab42630b4854c9260061
70B_Down_4kx8kx28k	4096	8192	28672	3	1	RCR	2939.39	0.6546	8da8b2cd7473713819a4ae01a042d812
70B_Down_4kx8kx28k	4096	8192	28672	3	1	RRR	2884.76	0.6670	8da8b2cd7473713819a4ae01a042d812
70B_Down_4kx8kx28k	4096	8192	28672	3	1	CRR	2615.54	0.7357	8da8b2cd7473713819a4ae01a042d812
70B_Down_4kx8kx28k	4096	8192	28672	3	2	RCR	2942.56	0.6539	8da8b2cd7473713819a4ae01a042d812
70B_Down_4kx8kx28k	4096	8192	28672	3	2	RRR	2885.88	0.6667	8da8b2cd7473713819a4ae01a042d812
70B_Down_4kx8kx28k	4096	8192	28672	3	2	CRR	2615.45	0.7357	8da8b2cd7473713819a4ae01a042d812
70B_Down_4kx8kx28k	4096	8192	28672	3	3	RCR	2937.78	0.6550	8da8b2cd7473713819a4ae01a042d812
70B_Down_4kx8kx28k	4096	8192	28672	3	3	RRR	2884.62	0.6670	8da8b2cd7473713819a4ae01a042d812
70B_Down_4kx8kx28k	4096	8192	28672	3	3	CRR	2612.79	0.7364	8da8b2cd7473713819a4ae01a042d812
