shape	M	N	K	policy	layout	tflops_median	tflops_min	tflops_max	build_md5
70B_QO_4kx8kx8k	4096	8192	8192	0	CRR	2694.29	2689.80	2698.83	18df09df9cf68e4d41be647af18a6d02
70B_QO_4kx8kx8k	4096	8192	8192	1	RCR	2895.90	2895.22	2901.52	b1deba8d519209e7aba3661d157d4029
70B_QO_4kx8kx8k	4096	8192	8192	1	RRR	2883.22	2883.18	2894.18	b1deba8d519209e7aba3661d157d4029
70B_QO_4kx8kx8k	4096	8192	8192	1	CRR	2691.56	2690.65	2694.08	b1deba8d519209e7aba3661d157d4029
70B_QO_4kx8kx8k	4096	8192	8192	2	RCR	2824.38	2824.00	2833.75	9c88bdde1b84db599eb8d6d216b06821
70B_QO_4kx8kx8k	4096	8192	8192	2	RRR	2811.88	2808.65	2820.86	9c88bdde1b84db599eb8d6d216b06821
70B_QO_4kx8kx8k	4096	8192	8192	2	CRR	2642.82	2640.14	2645.55	9c88bdde1b84db599eb8d6d216b06821
70B_QO_4kx8kx8k	4096	8192	8192	3	RCR	2823.91	2823.33	2824.30	fbe192fd8fb1be16047e36b767b66c29
70B_QO_4kx8kx8k	4096	8192	8192	3	RRR	2812.49	2812.01	2822.34	fbe192fd8fb1be16047e36b767b66c29
70B_QO_4kx8kx8k	4096	8192	8192	3	CRR	2647.67	2645.65	2648.34	fbe192fd8fb1be16047e36b767b66c29
70B_GateUp_4kx28kx8k	4096	28672	8192	0	RCR	2845.29	2839.55	2846.14	db1d00a21f19edc492c0907a5f65bacc
70B_GateUp_4kx28kx8k	4096	28672	8192	0	RRR	2783.07	2782.78	2786.31	db1d00a21f19edc492c0907a5f65bacc
70B_GateUp_4kx28kx8k	4096	28672	8192	0	CRR	2502.54	2497.21	2508.30	db1d00a21f19edc492c0907a5f65bacc
70B_GateUp_4kx28kx8k	4096	28672	8192	1	RCR	2843.46	2842.23	2846.33	a5a7bed33b264b4a31741b71c7957983
70B_GateUp_4kx28kx8k	4096	28672	8192	1	RRR	2793.21	2775.42	2795.03	a5a7bed33b264b4a31741b71c7957983
70B_GateUp_4kx28kx8k	4096	28672	8192	1	CRR	2507.48	2496.48	2509.78	a5a7bed33b264b4a31741b71c7957983
70B_GateUp_4kx28kx8k	4096	28672	8192	2	RCR	2795.21	2795.11	2803.97	111331274e3748d4b584180be071cd45
70B_GateUp_4kx28kx8k	4096	28672	8192	2	RRR	2708.70	2703.32	2709.90	111331274e3748d4b584180be071cd45
70B_GateUp_4kx28kx8k	4096	28672	8192	2	CRR	2464.57	2463.28	2465.65	111331274e3748d4b584180be071cd45
70B_GateUp_4kx28kx8k	4096	28672	8192	3	RCR	2795.30	2791.65	2797.96	a73ac2fe3f02768fbdbad6366d6bf9dd
70B_GateUp_4kx28kx8k	4096	28672	8192	3	RRR	2705.19	2703.43	2706.23	a73ac2fe3f02768fbdbad6366d6bf9dd
70B_GateUp_4kx28kx8k	4096	28672	8192	3	CRR	2468.83	2465.52	2469.36	a73ac2fe3f02768fbdbad6366d6bf9dd
70B_Down_4kx8kx28k	4096	8192	28672	0	RCR	2950.13	2947.00	2951.03	d18da9fb9b4273f7d982636fc36bfb2b
70B_Down_4kx8kx28k	4096	8192	28672	0	RRR	2971.44	2970.56	2972.51	d18da9fb9b4273f7d982636fc36bfb2b
70B_Down_4kx8kx28k	4096	8192	28672	0	CRR	2666.37	2656.39	2669.34	d18da9fb9b4273f7d982636fc36bfb2b
70B_Down_4kx8kx28k	4096	8192	28672	1	RCR	2942.41	2933.85	2944.56	fee58d69dd131e360f6a25a35c1eccff
70B_Down_4kx8kx28k	4096	8192	28672	1	RRR	2974.36	2959.87	2976.03	fee58d69dd131e360f6a25a35c1eccff
70B_Down_4kx8kx28k	4096	8192	28672	1	CRR	2663.57	2654.76	2664.82	fee58d69dd131e360f6a25a35c1eccff
70B_Down_4kx8kx28k	4096	8192	28672	2	RCR	2935.50	2934.06	2940.09	5b48428c4f4fab42630b4854c9260061
70B_Down_4kx8kx28k	4096	8192	28672	2	RRR	2885.58	2883.97	2885.77	5b48428c4f4fab42630b4854c9260061
70B_Down_4kx8kx28k	4096	8192	28672	2	CRR	2617.23	2615.12	2618.54	5b48428c4f4fab42630b4854c9260061
70B_Down_4kx8kx28k	4096	8192	28672	3	RCR	2939.39	2937.78	2942.56	8da8b2cd7473713819a4ae01a042d812
70B_Down_4kx8kx28k	4096	8192	28672	3	RRR	2884.76	2884.62	2885.88	8da8b2cd7473713819a4ae01a042d812
70B_Down_4kx8kx28k	4096	8192	28672	3	CRR	2615.45	2612.79	2615.54	8da8b2cd7473713819a4ae01a042d812
